詞語,出現次數,語氣分類
支付,60,其他/未分類
保單,53,其他/未分類
提供,45,其他/未分類
立即,40,催促
帳戶,39,指示
需要,38,其他/未分類
保險,37,其他/未分類
公司,24,其他/未分類
保費,23,其他/未分類
通知,23,其他/未分類
XX,22,其他/未分類
投保,21,其他/未分類
領取,21,其他/未分類
辦理,21,其他/未分類
銀行,19,其他/未分類
才能,19,其他/未分類
資料,18,其他/未分類
客服,17,假冒正規
避免,16,其他/未分類
一筆,16,其他/未分類
確認,16,其他/未分類
否則,15,威脅
安全,15,其他/未分類
涉及,14,其他/未分類
可以,13,其他/未分類
以免,13,其他/未分類
保障,13,其他/未分類
費用,13,其他/未分類
客戶,12,其他/未分類
真的,12,其他/未分類
繳納,12,其他/未分類
申請,12,其他/未分類
發現,12,其他/未分類
活動,11,其他/未分類
000,11,其他/未分類
系統,11,其他/未分類
調查,10,其他/未分類
身分,10,其他/未分類
完成,10,其他/未分類
資金,10,其他/未分類
聯絡,10,其他/未分類
保證,10,其他/未分類
手續費,10,其他/未分類
帳號,10,其他/未分類
資訊以,9,其他/未分類
扣款,9,其他/未分類
萬元,9,其他/未分類
中心,9,其他/未分類
交易,9,其他/未分類
訂單,9,其他/未分類
退款,9,其他/未分類
資訊,9,其他/未分類
盜用,9,其他/未分類
重新,9,其他/未分類
不然,9,其他/未分類
指示,9,其他/未分類
理賠,9,其他/未分類
配合,9,其他/未分類
異常,9,其他/未分類
保證金,9,誘導
未繳,9,其他/未分類
無法,9,其他/未分類
付款,9,其他/未分類
收益,8,其他/未分類
包裹,8,其他/未分類
信用卡,8,其他/未分類
50,8,其他/未分類
處理,8,其他/未分類
更新,8,其他/未分類
所有,8,其他/未分類
登入,7,其他/未分類
獲得,7,其他/未分類
資格,7,其他/未分類
這是,7,其他/未分類
取消,7,其他/未分類
醫療,7,其他/未分類
繳清,7,其他/未分類
電話,7,其他/未分類
專案,7,其他/未分類
提醒,7,其他/未分類
操作,7,其他/未分類
現金,7,其他/未分類
問題,7,其他/未分類
罰款,7,其他/未分類
協助,7,其他/未分類
獎品,7,其他/未分類
投資,7,其他/未分類
受益人,7,其他/未分類
10,7,其他/未分類
即可,6,其他/未分類
驗證,6,其他/未分類
一次,6,其他/未分類
升級,6,其他/未分類
凍結,6,其他/未分類
身份,6,其他/未分類
犯罪,6,其他/未分類
中獎,6,誘導
如需,6,其他/未分類
商品,6,其他/未分類
連結,6,其他/未分類
感謝,6,其他/未分類
VIP,6,其他/未分類
繳費,6,其他/未分類
平台,6,其他/未分類
手續,6,其他/未分類
只要,6,其他/未分類
監管,6,恐嚇
利息,5,其他/未分類
證明,5,其他/未分類
退費,5,其他/未分類
需繳,5,其他/未分類
要求,5,其他/未分類
保險理,5,其他/未分類
程序,5,其他/未分類
參加,5,其他/未分類
不及,5,其他/未分類
目前,5,其他/未分類
失效,5,其他/未分類
30,5,其他/未分類
不想,5,其他/未分類
以便,5,其他/未分類
即將,5,其他/未分類
網站,5,其他/未分類
每年,5,其他/未分類
收取,5,其他/未分類
顯示,5,其他/未分類
政府,5,其他/未分類
本金,5,其他/未分類
錯過,5,其他/未分類
手機,5,其他/未分類
案件,5,其他/未分類
今日,5,其他/未分類
今天,5,其他/未分類
電腦,5,其他/未分類
支持,5,其他/未分類
號碼,5,其他/未分類
盡快,5,其他/未分類
撥款,5,其他/未分類
抽獎,5,其他/未分類
回饋,5,其他/未分類
500,5,其他/未分類
有人,5,其他/未分類
懷疑,5,其他/未分類
5%,5,其他/未分類
海外,5,其他/未分類
親屬,4,其他/未分類
一定,4,其他/未分類
貸款,4,其他/未分類
額度,4,其他/未分類
按照,4,其他/未分類
生效,4,其他/未分類
出現,4,其他/未分類
幸運,4,其他/未分類
差額,4,其他/未分類
偵測,4,其他/未分類
匯款,4,其他/未分類
已經,4,其他/未分類
近期,4,其他/未分類
意外,4,其他/未分類
尚未,4,其他/未分類
請先,4,其他/未分類
1000,4,其他/未分類
購買,4,其他/未分類
投入,4,其他/未分類
機會,4,其他/未分類
提醒您,4,其他/未分類
金額,4,其他/未分類
欠款,4,其他/未分類
100,4,其他/未分類
指定,4,其他/未分類
翻倍,4,其他/未分類
必須,4,其他/未分類
獎金,4,其他/未分類
退回,4,其他/未分類
補繳,4,其他/未分類
密碼,4,其他/未分類
損失,4,其他/未分類
購物,4,其他/未分類
最新,4,其他/未分類
一份,4,其他/未分類
我現,4,其他/未分類
恭喜,4,其他/未分類
準備,4,其他/未分類
幫忙,4,其他/未分類
遇到,4,其他/未分類
領回,4,其他/未分類
賠償,4,其他/未分類
過期,4,其他/未分類
醫院,4,其他/未分類
不是,4,其他/未分類
地址,4,其他/未分類
助您,4,其他/未分類
繳保費,4,其他/未分類
學校,4,其他/未分類
正在,4,其他/未分類
非法,4,其他/未分類
即刻,4,其他/未分類
簽署,4,其他/未分類
詐騙,3,其他/未分類
實性,3,其他/未分類
機構,3,其他/未分類
之前,3,其他/未分類
建議,3,其他/未分類
加保,3,其他/未分類
增加,3,其他/未分類
沒有,3,其他/未分類
可疑,3,其他/未分類
卡號,3,其他/未分類
利用,3,其他/未分類
旅遊,3,其他/未分類
名額,3,其他/未分類
核准,3,其他/未分類
證金,3,其他/未分類
放款,3,其他/未分類
一位,3,其他/未分類
影響,3,其他/未分類
額外,3,其他/未分類
訴訟,3,其他/未分類
存款,3,其他/未分類
警告,3,其他/未分類
寄送,3,其他/未分類
重要,3,其他/未分類
明天,3,其他/未分類
墊付,3,其他/未分類
請將,3,其他/未分類
放棄,3,其他/未分類
一年,3,其他/未分類
加入,3,其他/未分類
回報,3,其他/未分類
證件,3,其他/未分類
涉嫌,3,其他/未分類
需先,3,其他/未分類
親愛的,3,其他/未分類
小時,3,其他/未分類
10%,3,其他/未分類
流程,3,其他/未分類
檢察官,3,其他/未分類
一起,3,其他/未分類
領獎,3,其他/未分類
依法,3,其他/未分類
先繳,3,其他/未分類
相關,3,其他/未分類
2000,3,其他/未分類
不要,3,其他/未分類
填寫,3,其他/未分類
成功,3,其他/未分類
平安,3,其他/未分類
強制,3,其他/未分類
本案,3,其他/未分類
孩子,3,其他/未分類
請點擊,3,其他/未分類
鎖定,3,其他/未分類
停機,3,其他/未分類
自動,3,其他/未分類
相信,3,其他/未分類
運費,3,其他/未分類
法律,3,其他/未分類
軟體,3,其他/未分類
人壽,3,其他/未分類
每月,3,其他/未分類
網路,3,其他/未分類
以確,3,其他/未分類
解鎖,3,其他/未分類
專員,3,其他/未分類
審查,3,其他/未分類
優惠,3,其他/未分類
提交,3,其他/未分類
如果,3,其他/未分類
逾期,3,其他/未分類
費以,3,其他/未分類
不法,3,其他/未分類
可選擇,3,其他/未分類
退還,3,其他/未分類
服務,3,其他/未分類
一張,3,其他/未分類
退保,3,其他/未分類
終止,3,其他/未分類
監控,3,其他/未分類
立刻,3,其他/未分類
暫時,3,其他/未分類
使用,3,其他/未分類
方案,3,其他/未分類
錯誤,3,其他/未分類
分紅,3,其他/未分類
ATM,3,指示
最近,3,其他/未分類
我們將,3,其他/未分類
文件,3,其他/未分類
效力,3,其他/未分類
權益,3,其他/未分類
價值,3,其他/未分類
推薦,3,其他/未分類
不會,3,其他/未分類
停用,3,其他/未分類
高額,3,其他/未分類
不足,3,其他/未分類
本行,3,其他/未分類
專線,3,其他/未分類
交保,3,其他/未分類
用以,3,其他/未分類
年度,3,其他/未分類
和解,3,其他/未分類
先借,3,其他/未分類
出事,2,其他/未分類
續訂,2,其他/未分類
以續,2,其他/未分類
解決,2,其他/未分類
不得,2,其他/未分類
提高,2,其他/未分類
應急,2,其他/未分類
這個,2,其他/未分類
晚點,2,其他/未分類
下載,2,其他/未分類
啟用,2,其他/未分類
警察,2,權威假冒
外地,2,其他/未分類
麻煩,2,其他/未分類
當天,2,其他/未分類
快速,2,其他/未分類
50%,2,其他/未分類
調整,2,其他/未分類
通過,2,其他/未分類
補辦,2,其他/未分類
僅需,2,其他/未分類
繳交,2,其他/未分類
信用,2,其他/未分類
未明,2,其他/未分類
進行,2,其他/未分類
超商,2,其他/未分類
險理,2,其他/未分類
方式,2,其他/未分類
對方,2,其他/未分類
事故,2,其他/未分類
車禍,2,其他/未分類
生意,2,其他/未分類
可領,2,其他/未分類
入理,2,其他/未分類
點擊,2,其他/未分類
失敗,2,其他/未分類
須先,2,其他/未分類
擔保,2,其他/未分類
返還,2,其他/未分類
境外,2,其他/未分類
如非,2,其他/未分類
本人,2,其他/未分類
切勿,2,其他/未分類
內容,2,其他/未分類
規定,2,其他/未分類
保險局,2,其他/未分類
經查,2,其他/未分類
金融,2,其他/未分類
保額,2,其他/未分類
險額度,2,其他/未分類
經紀,2,其他/未分類
行動,2,其他/未分類
你現,2,其他/未分類
名下,2,其他/未分類
確保,2,其他/未分類
證碼,2,其他/未分類
分鐘,2,其他/未分類
轉至,2,其他/未分類
並繳,2,其他/未分類
老客,2,其他/未分類
完全,2,其他/未分類
壓力,2,其他/未分類
透過,2,其他/未分類
只有,2,其他/未分類
出車,2,其他/未分類
急需,2,其他/未分類
定存,2,其他/未分類
零風險,2,其他/未分類
解除,2,其他/未分類
網購,2,其他/未分類
因系統,2,其他/未分類
故障,2,其他/未分類
納保證,2,其他/未分類
異地,2,其他/未分類
儲蓄,2,其他/未分類
內繳,2,其他/未分類
報酬,2,其他/未分類
續期,2,其他/未分類
暫停,2,其他/未分類
限期,2,其他/未分類
到期,2,其他/未分類
續保,2,其他/未分類
任險,2,其他/未分類
12,2,其他/未分類
保持,2,其他/未分類
證字號,2,其他/未分類
重大,2,其他/未分類
稅款,2,其他/未分類
請加,2,其他/未分類
LINE,2,其他/未分類
違約金,2,其他/未分類
中止,2,其他/未分類
開口,2,其他/未分類
時間,2,其他/未分類
發生,2,其他/未分類
什麼,2,其他/未分類
千萬別,2,其他/未分類
別人,2,其他/未分類
單將,2,其他/未分類
海關,2,其他/未分類
物流,2,其他/未分類
有誤,2,其他/未分類
將持續,2,其他/未分類
查到,2,其他/未分類
禮券,2,其他/未分類
正確,2,其他/未分類
繳款,2,其他/未分類
注意,2,其他/未分類
尊敬,2,其他/未分類
受理,2,其他/未分類
日內,2,其他/未分類
先墊付,2,其他/未分類
住院,2,其他/未分類
投無路,2,其他/未分類
理理,2,其他/未分類
關款,2,其他/未分類
將終,2,其他/未分類
完整,2,其他/未分類
200,2,其他/未分類
工本,2,其他/未分類
餘額,2,其他/未分類
代為,2,其他/未分類
延誤,2,其他/未分類
繼續,2,其他/未分類
收入,2,其他/未分類
折扣,2,其他/未分類
賠申,2,其他/未分類
直接,2,其他/未分類
賠金額,2,其他/未分類
贖金,2,其他/未分類
賠金,2,其他/未分類
3000,2,其他/未分類
賠款,2,其他/未分類
結算,2,其他/未分類
網拍,2,其他/未分類
配送,2,其他/未分類
這邊,2,其他/未分類
5000,2,其他/未分類
計畫,2,其他/未分類
拖延,2,其他/未分類
郵件,2,其他/未分類
Apple,2,其他/未分類
存在,2,其他/未分類
伺服器,2,其他/未分類
入侵,2,其他/未分類
需協助,2,其他/未分類
服務費,2,其他/未分類
IP,2,其他/未分類
唯一,2,其他/未分類
名義,2,其他/未分類
投遞,2,其他/未分類
病毒,2,其他/未分類
未來,2,其他/未分類
一步,2,其他/未分類
忍心,2,其他/未分類
周轉,2,其他/未分類
不靈,2,其他/未分類
給你,2,其他/未分類
比特,2,其他/未分類
一點,2,其他/未分類
困難,2,其他/未分類
這筆,2,其他/未分類
還有,2,其他/未分類
訂購,2,其他/未分類
賣家,2,其他/未分類
匯入,2,其他/未分類
責任,2,其他/未分類
不再,2,其他/未分類
我來,2,其他/未分類
租金,2,其他/未分類
官方,2,其他/未分類
作為,2,其他/未分類
獎勵,2,其他/未分類
團隊,2,其他/未分類
朋友,2,其他/未分類
15%,2,其他/未分類
自負,2,其他/未分類
家人,2,其他/未分類
享有,2,其他/未分類
補助,2,其他/未分類
項目,2,其他/未分類
部分,2,其他/未分類
單作,2,其他/未分類
發布,2,其他/未分類
優先,2,其他/未分類
多次,2,其他/未分類
偵辦,2,其他/未分類
洗錢,2,其他/未分類
公安局,2,其他/未分類
不准,2,其他/未分類
報警,2,其他/未分類
未果,2,其他/未分類
20%,2,其他/未分類
消息,2,其他/未分類
稅金,2,其他/未分類
本月,2,其他/未分類
編號,2,其他/未分類
經濟,2,其他/未分類
名字,2,其他/未分類
一支,2,其他/未分類
成為,2,其他/未分類
列為,2,其他/未分類
貴賓,2,其他/未分類
可免,2,其他/未分類
獲現,2,其他/未分類
金獎勵,2,其他/未分類
簡訊,2,其他/未分類
24,2,其他/未分類
一宗,2,其他/未分類
理將,2,其他/未分類
警方,2,其他/未分類
汽車,2,其他/未分類
金以,2,其他/未分類
紀錄,2,其他/未分類
電子,2,其他/未分類
期未,2,其他/未分類
核對,2,其他/未分類
等待,2,其他/未分類
保留,2,其他/未分類
產生,2,其他/未分類
救救,2,其他/未分類
帳單,1,其他/未分類
出來,1,其他/未分類
事務,1,其他/未分類
律師,1,其他/未分類
停電,1,其他/未分類
電費,1,其他/未分類
轉帳,1,指示
大獎,1,其他/未分類
彩票,1,其他/未分類
電郵,1,其他/未分類
驅逐,1,其他/未分類
房東,1,其他/未分類
接通,1,其他/未分類
撥本,1,其他/未分類
猖獗,1,其他/未分類
將致,1,其他/未分類
電驗證,1,其他/未分類
第三者,1,其他/未分類
將觸,1,其他/未分類
國際,1,其他/未分類
初步,1,其他/未分類
我手,1,其他/未分類
機快,1,其他/未分類
沒電,1,其他/未分類
先匯,1,其他/未分類
細說,1,其他/未分類
堂弟,1,其他/未分類
社會,1,其他/未分類
配貨,1,其他/未分類
快遞,1,其他/未分類
重量,1,其他/未分類
超限,1,其他/未分類
超重,1,其他/未分類
費否則,1,其他/未分類
將被,1,其他/未分類
將贈,1,其他/未分類
所得,1,其他/未分類
須補繳,1,其他/未分類
差價,1,其他/未分類
訂位,1,其他/未分類
違約,1,其他/未分類
聲音,1,其他/未分類
警察局,1,其他/未分類
罰單,1,其他/未分類
一輛,1,其他/未分類
請匯,1,其他/未分類
為慶祝,1,其他/未分類
庫存,1,其他/未分類
因長,1,其他/未分類
需解,1,其他/未分類
解凍,1,其他/未分類
OTP,1,其他/未分類
12345,1,其他/未分類
發票,1,其他/未分類
開立,1,其他/未分類
補開,1,其他/未分類
這通,1,其他/未分類
記下,1,其他/未分類
警員,1,其他/未分類
定金,1,其他/未分類
稅以,1,其他/未分類
抽選,1,其他/未分類
新款,1,其他/未分類
錢名,1,其他/未分類
單上,1,其他/未分類
涉入,1,其他/未分類
跨國詐,1,其他/未分類
若不處,1,其他/未分類
通緝,1,恐嚇
請馬上,1,其他/未分類
冒用,1,其他/未分類
刑事案件,1,其他/未分類
郵寄保險費,1,其他/未分類
300,1,其他/未分類
電視台,1,其他/未分類
頭獎,1,其他/未分類
持卡人,1,其他/未分類
基金,1,其他/未分類
請致,1,其他/未分類
電專線,1,其他/未分類
費獲,1,其他/未分類
贈禮品,1,其他/未分類
兌換,1,其他/未分類
週年慶,1,其他/未分類
選為,1,其他/未分類
繳交登,1,其他/未分類
記費,1,其他/未分類
用戶,1,其他/未分類
現金紅包,1,其他/未分類
問卷,1,其他/未分類
一台,1,其他/未分類
筆記型,1,其他/未分類
下週,1,其他/未分類
這支,1,其他/未分類
股票,1,其他/未分類
趕快,1,其他/未分類
付清,1,其他/未分類
偵查科,1,其他/未分類
iPhone,1,其他/未分類
運保費,1,其他/未分類
預訂,1,其他/未分類
行程,1,其他/未分類
因優惠,1,其他/未分類
滿額,1,其他/未分類
需補繳,1,其他/未分類
不予,1,其他/未分類
可享,1,其他/未分類
購物金,1,其他/未分類
致富,1,其他/未分類
短短,1,其他/未分類
三個,1,其他/未分類
三倍,1,其他/未分類
簽約,1,其他/未分類
有限,1,其他/未分類
抽中現,1,其他/未分類
金獎,1,其他/未分類
視同,1,其他/未分類
重大案件,1,其他/未分類
一舉,1,其他/未分類
一動,1,其他/未分類
掛電話,1,其他/未分類
投資金額,1,其他/未分類
絕對,1,其他/未分類
內部,1,其他/未分類
財團隊,1,其他/未分類
已幫,1,其他/未分類
許多,1,其他/未分類
翻身,1,其他/未分類
管理,1,其他/未分類
發布詐,1,其他/未分類
停權,1,其他/未分類
遺失,1,其他/未分類
剛才,1,其他/未分類
補款,1,其他/未分類
出庭,1,其他/未分類
拘票,1,其他/未分類
撤銷,1,其他/未分類
地方法院,1,其他/未分類
民事,1,其他/未分類
開銀行,1,其他/未分類
高達,1,其他/未分類
幾百萬,1,其他/未分類
不會害,1,其他/未分類
沒命,1,其他/未分類
最好,1,其他/未分類
照著,1,其他/未分類
失去,1,其他/未分類
刑事警察,1,其他/未分類
中午,1,其他/未分類
萬現,1,其他/未分類
金到,1,其他/未分類
高端,1,其他/未分類
加密,1,其他/未分類
貨幣,1,其他/未分類
不用,1,其他/未分類
專業理,1,其他/未分類
隨時,1,其他/未分類
要額,1,其他/未分類
就是,1,其他/未分類
趁現,1,其他/未分類
就要,1,其他/未分類
封盤,1,其他/未分類
自己,1,其他/未分類
人工智慧,1,其他/未分類
天天,1,其他/未分類
小李,1,其他/未分類
不信,1,其他/未分類
問他,1,其他/未分類
難得,1,其他/未分類
房地,1,其他/未分類
產回,1,其他/未分類
報率,1,其他/未分類
考慮,1,其他/未分類
大數據,1,其他/未分類
策略,1,其他/未分類
勝率,1,其他/未分類
99%,1,其他/未分類
很穩,1,其他/未分類
一百,1,其他/未分類
萬進,1,其他/未分類
虧損,1,其他/未分類
這麼,1,其他/未分類
條件,1,其他/未分類
全程,1,其他/未分類
代辦,1,其他/未分類
坐等,1,其他/未分類
非常,1,其他/未分類
擔心,1,其他/未分類
集團,1,其他/未分類
將資金,1,其他/未分類
轉入,1,其他/未分類
決定,1,其他/未分類
運營,1,其他/未分類
口碑,1,其他/未分類
良好,1,其他/未分類
香港,1,其他/未分類
那邊,1,其他/未分類
內線,1,其他/未分類
公布,1,其他/未分類
利多,1,其他/未分類
偷偷,1,其他/未分類
透露,1,其他/未分類
收新,1,其他/未分類
投資人,1,其他/未分類
愛你,1,其他/未分類
不願意,1,其他/未分類
將來,1,其他/未分類
幸福,1,其他/未分類
顧慮,1,其他/未分類
帶著,1,其他/未分類
出貨,1,其他/未分類
另付,1,其他/未分類
保險費,1,其他/未分類
遞無法,1,其他/未分類
承保,1,其他/未分類
尺寸,1,其他/未分類
超標,1,其他/未分類
因為,1,其他/未分類
手誤,1,其他/未分類
輸錯,1,其他/未分類
我度,1,其他/未分類
過難,1,其他/未分類
關馬上,1,其他/未分類
回國,1,其他/未分類
萬應,1,其他/未分類
計劃,1,其他/未分類
泡湯,1,其他/未分類
過會,1,其他/未分類
伸出,1,其他/未分類
正要,1,其他/未分類
大漲,1,其他/未分類
會後悔,1,其他/未分類
一個,1,其他/未分類
信不信,1,其他/未分類
還你,1,其他/未分類
真心,1,其他/未分類
怎麼,1,其他/未分類
周轉過,1,其他/未分類
結婚,1,其他/未分類
老婆,1,其他/未分類
出差,1,其他/未分類
錢交醫院,1,其他/未分類
他們,1,其他/未分類
不肯,1,其他/未分類
治療,1,其他/未分類
積蓄,1,其他/未分類
下去,1,其他/未分類
寶貝,1,其他/未分類
被困,1,其他/未分類
國外,1,其他/未分類
不見,1,其他/未分類
發誓,1,其他/未分類
無人,1,其他/未分類
簽收,1,其他/未分類
那些,1,其他/未分類
只是,1,其他/未分類
以後還,1,其他/未分類
大好,1,其他/未分類
前途,1,其他/未分類
拍視訊給,1,其他/未分類
處境,1,其他/未分類
求求,1,其他/未分類
但現,1,其他/未分類
連命,1,其他/未分類
保不住,1,其他/未分類
難道,1,其他/未分類
微軟,1,其他/未分類
