詞語,出現次數,語氣分類
援手,1,其他/未分類
xxxx,1,其他/未分類
Email,1,其他/未分類
發送,1,其他/未分類
信任,1,其他/未分類
司法,1,恐嚇
收到,1,其他/未分類
法院,1,權威假冒
傳票,1,其他/未分類
何未,1,其他/未分類
沒辦,1,其他/未分類
法出,1,其他/未分類
貨給,1,其他/未分類
抽中,1,其他/未分類
寄出,1,其他/未分類
一件,1,其他/未分類
貨到,1,其他/未分類
垃圾,1,其他/未分類
正常,1,其他/未分類
ID,1,其他/未分類
Google,1,其他/未分類
受到,1,其他/未分類
駭客,1,其他/未分類
攻擊,1,其他/未分類
外洩,1,其他/未分類
防護,1,其他/未分類
移除,1,其他/未分類
中華電信,1,其他/未分類
連線,1,其他/未分類
將於,1,其他/未分類
若有,1,其他/未分類
疑問,1,其他/未分類
02,1,其他/未分類
在家,1,其他/未分類
因涉嫌,1,其他/未分類
詐騙將,1,其他/未分類
停話,1,其他/未分類
金證,1,其他/未分類
明清,1,其他/未分類
位址,1,其他/未分類
封鎖,1,其他/未分類
攝影機,1,其他/未分類
錄下,1,其他/未分類
不可告人,1,其他/未分類
影片,1,其他/未分類
公開,1,其他/未分類
植入,1,其他/未分類
木馬,1,其他/未分類
大量,1,其他/未分類
訓費,1,其他/未分類
一旦,1,其他/未分類
資料將,1,其他/未分類
全部,1,其他/未分類
刪除,1,其他/未分類
掌握,1,其他/未分類
隱私,1,其他/未分類
身敗,1,其他/未分類
名裂,1,其他/未分類
48,1,其他/未分類
別試,1,其他/未分類
乾淨,1,其他/未分類
剩付,1,其他/未分類
這條,1,其他/未分類
保住,1,其他/未分類
聲譽,1,其他/未分類
錢備,1,其他/未分類
別想,1,其他/未分類
監視,1,其他/未分類
快匯,1,其他/未分類
萬醫藥費,1,其他/未分類
伯父,1,其他/未分類
先交,1,其他/未分類
招募,1,其他/未分類
單手,1,其他/未分類
2999,1,其他/未分類
任務,1,其他/未分類
佣金,1,其他/未分類
高薪,1,其他/未分類
兼職,1,其他/未分類
不限經驗,1,其他/未分類
繳交培,1,其他/未分類
小組,1,其他/未分類
薪資,1,其他/未分類
制服,1,其他/未分類
押金,1,其他/未分類
一天,1,其他/未分類
幾小時,1,其他/未分類
幾千,1,其他/未分類
理賠部,1,其他/未分類
獲批,1,其他/未分類
日薪,1,其他/未分類
交會費,1,其他/未分類
地點,1,其他/未分類
撕票,1,其他/未分類
女兒,1,其他/未分類
外面,1,其他/未分類
乖乖,1,其他/未分類
費用理,1,其他/未分類
上工,1,其他/未分類
每日,1,其他/未分類
中含,1,其他/未分類
禁品,1,其他/未分類
查扣,1,其他/未分類
納罰款,1,其他/未分類
追訴,1,其他/未分類
本站,1,其他/未分類
多個,1,其他/未分類
門號,1,其他/未分類
電信詐,1,其他/未分類
健保局,1,其他/未分類
健保卡,1,其他/未分類
遭盜,1,其他/未分類
執行,1,其他/未分類
繳納公證,1,其他/未分類
動手術,1,其他/未分類
兒子現,1,其他/未分類
手上,1,其他/未分類
保他,1,其他/未分類
耍花樣,1,其他/未分類
收屍,1,其他/未分類
突然,1,其他/未分類
人生,1,其他/未分類
一把,1,其他/未分類
先給,1,其他/未分類
籌些,1,其他/未分類
車禍理,1,其他/未分類
就緒,1,其他/未分類
代辦費,1,其他/未分類
申報,1,其他/未分類
領取理,1,其他/未分類
前須,1,其他/未分類
補足,1,其他/未分類
不齊,1,其他/未分類
補件,1,其他/未分類
明日,1,其他/未分類
出帳,1,其他/未分類
核算,1,其他/未分類
完畢,1,其他/未分類
入帳,1,其他/未分類
我司,1,其他/未分類
保款,1,其他/未分類
項順利,1,其他/未分類
撥付,1,其他/未分類
金即,1,其他/未分類
週申,1,其他/未分類
文書,1,其他/未分類
法定期限,1,其他/未分類
特別,1,其他/未分類
通融,1,其他/未分類
罰金,1,其他/未分類
審核,1,其他/未分類
超過,1,其他/未分類
須經,1,其他/未分類
反洗,1,其他/未分類
將匯出,1,其他/未分類
最後一,1,其他/未分類
筆代書費,1,其他/未分類
此為,1,其他/未分類
賠金將,1,其他/未分類
視為,1,其他/未分類
當初,1,其他/未分類
專員代辦,1,其他/未分類
少許,1,其他/未分類
賠相,1,其他/未分類
選擇,1,其他/未分類
缺貨,1,其他/未分類
可辦理,1,其他/未分類
收件,1,其他/未分類
購物網,1,其他/未分類
繳清將,1,其他/未分類
移送,1,其他/未分類
法務,1,其他/未分類
行政,1,其他/未分類
行署,1,其他/未分類
週內,1,其他/未分類
機門號,1,其他/未分類
不法分子,1,其他/未分類
理賠款,1,其他/未分類
稅額,1,其他/未分類
補貼,1,其他/未分類
我會記,1,其他/未分類
一輩子,1,其他/未分類
恩情,1,其他/未分類
別掛,1,其他/未分類
急救,1,其他/未分類
出院,1,其他/未分類
雙倍,1,其他/未分類
奉還,1,其他/未分類
日後將,1,其他/未分類
財務部門,1,其他/未分類
還給,1,其他/未分類
現金理,1,其他/未分類
賠金未,1,其他/未分類
多扣,1,其他/未分類
現將,1,其他/未分類
銀行代碼,1,其他/未分類
回覆,1,其他/未分類
抱歉,1,其他/未分類
疏失,1,其他/未分類
請求,1,其他/未分類
龐大,1,其他/未分類
面簽,1,其他/未分類
考量,1,其他/未分類
不便,1,其他/未分類
前來,1,其他/未分類
去年,1,其他/未分類
多繳,1,其他/未分類
收款,1,其他/未分類
將入帳,1,其他/未分類
以郵,1,其他/未分類
可退,1,其他/未分類
600,1,其他/未分類
為確,1,其他/未分類
保資金,1,其他/未分類
繳交驗,1,其他/未分類
試將,1,其他/未分類
退費系,1,其他/未分類
統維護,1,其他/未分類
臨櫃,1,其他/未分類
否則款,1,其他/未分類
項將,1,其他/未分類
作業,1,其他/未分類
失誤,1,其他/未分類
一期,1,其他/未分類
保費溢,1,其他/未分類
涉詐,1,其他/未分類
現由調,1,其他/未分類
查局,1,其他/未分類
發放,1,其他/未分類
加快,1,其他/未分類
通道,1,其他/未分類
將優先,1,其他/未分類
及早,1,其他/未分類
停扣,1,其他/未分類
將自動續,1,其他/未分類
約並,1,其他/未分類
若需,1,其他/未分類
18,1,其他/未分類
00,1,其他/未分類
收保費,1,其他/未分類
補償,1,其他/未分類
壽險保,1,其他/未分類
法規,1,其他/未分類
變動,1,其他/未分類
舊制,1,其他/未分類
將產生,1,其他/未分類
延後一個,1,其他/未分類
申辦,1,其他/未分類
外洩漏,1,其他/未分類
扣留,1,其他/未分類
關稅,1,其他/未分類
放行,1,其他/未分類
人員,1,其他/未分類
貨件,1,其他/未分類
Visa,1,其他/未分類
剛剛,1,其他/未分類
嘗試,1,其他/未分類
罰息,1,其他/未分類
解約,1,其他/未分類
保單並,1,其他/未分類
棄權,1,其他/未分類
合約,1,其他/未分類
時處理,1,其他/未分類
時處,1,其他/未分類
按期,1,其他/未分類
只能靠,1,其他/未分類
先轉,1,其他/未分類
五萬給,1,其他/未分類
緊急,1,其他/未分類
解釋,1,其他/未分類
知道,1,其他/未分類
先幫,1,其他/未分類
兩萬元,1,其他/未分類
需繼續,1,其他/未分類
未及,1,其他/未分類
回應,1,其他/未分類
扣除,1,其他/未分類
結清,1,其他/未分類
暢通,1,其他/未分類
等候,1,其他/未分類
調查將,1,其他/未分類
通緝令,1,其他/未分類
領藥,1,其他/未分類
稅務局,1,其他/未分類
回電,1,其他/未分類
積點,1,其他/未分類
可換,1,其他/未分類
轉移,1,其他/未分類
迅速,1,其他/未分類
按時,1,其他/未分類
所欠,1,其他/未分類
已屆期,1,其他/未分類
快續,1,其他/未分類
累計,1,其他/未分類
造成,1,其他/未分類
不必要,1,其他/未分類
帳戶將,1,其他/未分類
停止,1,其他/未分類
合約並,1,其他/未分類
追討,1,其他/未分類
如不續,1,其他/未分類
保將,1,其他/未分類
汽車責,1,其他/未分類
受罰,1,其他/未分類
狀態,1,其他/未分類
保險將,1,其他/未分類
兩天,1,其他/未分類
以維持,1,其他/未分類
天寬,1,其他/未分類
清保費,1,其他/未分類
將自動,1,其他/未分類
已過,1,其他/未分類
為維持,1,其他/未分類
儲蓄險,1,其他/未分類
12%,1,其他/未分類
顧問,1,其他/未分類
將屆,1,其他/未分類
可選擇續,1,其他/未分類
醫療險,1,其他/未分類
因欠,1,其他/未分類
因未,1,其他/未分類
豪禮,1,其他/未分類
推出,1,其他/未分類
理財,1,其他/未分類
穩定,1,其他/未分類
保本,1,其他/未分類
保息,1,其他/未分類
內部員工,1,其他/未分類
限時,1,催促
開放給,1,其他/未分類
獲利高,1,其他/未分類
期滿,1,其他/未分類
100%,1,其他/未分類
還額,1,其他/未分類
外給付,1,其他/未分類
中斷,1,其他/未分類
催告,1,其他/未分類
手腳,1,其他/未分類
富人,1,其他/未分類
免體,1,其他/未分類
檢高額,1,其他/未分類
壽險,1,其他/未分類
一經,1,其他/未分類
還享,1,其他/未分類
首年,1,其他/未分類
五折,1,其他/未分類
外商,1,其他/未分類
比本國,1,其他/未分類
20,1,其他/未分類
固定,1,其他/未分類
配息,1,其他/未分類
8%,1,其他/未分類
還送,1,其他/未分類
限量,1,其他/未分類
金險,1,其他/未分類
月繳,1,其他/未分類
退休,1,其他/未分類
可月領,1,其他/未分類
證資,1,其他/未分類
金來源,1,其他/未分類
前往,1,其他/未分類
步驟,1,其他/未分類
下單,1,其他/未分類
多餘訂,1,其他/未分類
繳交年,1,其他/未分類
不服,1,其他/未分類
採取,1,其他/未分類
拘提,1,其他/未分類
僅餘,1,其他/未分類
白紙,1,其他/未分類
黑字,1,其他/未分類
新興,1,其他/未分類
市場,1,其他/未分類
最高,1,其他/未分類
可達,1,其他/未分類
遠勝,1,其他/未分類
一般,1,其他/未分類
比銀行,1,其他/未分類
分期,1,其他/未分類
資產,1,其他/未分類
增值,1,其他/未分類
投資分,1,其他/未分類
紅保單,1,其他/未分類
綁定,1,其他/未分類
享高額,1,其他/未分類
業務員,1,其他/未分類
離職,1,其他/未分類
低門檻,1,其他/未分類
一樣,1,其他/未分類
大錢,1,其他/未分類
承諾,1,其他/未分類
進合約,1,其他/未分類
萬度,1,其他/未分類
過難關,1,其他/未分類
兄弟,1,其他/未分類
我度過,1,其他/未分類
這次,1,其他/未分類
難關,1,其他/未分類
回頭,1,其他/未分類
上還,1,其他/未分類
阿姨,1,其他/未分類
並繳納,1,其他/未分類
更正,1,其他/未分類
假如,1,其他/未分類
兩年,1,其他/未分類
轉成,1,其他/未分類
投資型,1,其他/未分類
預期,1,其他/未分類
更高,1,其他/未分類
享受,1,其他/未分類
許多人,1,其他/未分類
這款,1,其他/未分類
實現,1,其他/未分類
財務,1,其他/未分類
自由,1,其他/未分類
張經理,1,其他/未分類
紅利,1,其他/未分類
缺少,1,其他/未分類
欄位,1,其他/未分類
保權益,1,其他/未分類
新法,1,其他/未分類
轉換成,1,其他/未分類
新版,1,其他/未分類
條款,1,其他/未分類
小額,1,其他/未分類
授權,1,其他/未分類
四碼,1,其他/未分類
有升級,1,其他/未分類
接手,1,其他/未分類
新人,1,其他/未分類
有關,1,其他/未分類
影本,1,其他/未分類
核保員,1,其他/未分類
專用,1,其他/未分類
加速,1,其他/未分類
告訴,1,其他/未分類
他人,1,其他/未分類
紕漏,1,其他/未分類
過去理,1,其他/未分類
暢通並,1,其他/未分類
單線,1,其他/未分類
查封,1,其他/未分類
財產,1,其他/未分類
接獲,1,其他/未分類
檢舉,1,其他/未分類
更改,1,其他/未分類
簡訊驗,1,其他/未分類
內將,1,其他/未分類
資時,1,其他/未分類
惡意,1,其他/未分類
這件,1,其他/未分類
事先,1,其他/未分類
其他人,1,其他/未分類
提起,1,其他/未分類
引起,1,其他/未分類
誤會,1,其他/未分類
進度,1,其他/未分類
補差額,1,其他/未分類
實支,1,其他/未分類
實付,1,其他/未分類
疾病,1,其他/未分類
截止,1,其他/未分類
最後名額,1,其他/未分類
保費鎖定,1,其他/未分類
主管,1,其他/未分類
流向,1,其他/未分類
調查科,1,其他/未分類
假保,1,其他/未分類
單詐,1,其他/未分類
保單號,1,其他/未分類
不明,1,其他/未分類
名單,1,其他/未分類
侵入,1,其他/未分類
調查局,1,其他/未分類
假保單,1,其他/未分類
賠次數,1,其他/未分類
頻繁,1,其他/未分類
如要續,1,其他/未分類
保誠保證,1,其他/未分類
以證,1,其他/未分類
明非,1,其他/未分類
澄清,1,其他/未分類
違反,1,其他/未分類
接受,1,其他/未分類
期間,1,其他/未分類
將凍,1,其他/未分類
結相,1,其他/未分類
保監局,1,其他/未分類
違規,1,其他/未分類
回扣,1,其他/未分類
調查並,1,其他/未分類
憑證,1,其他/未分類
假冒,1,其他/未分類
頻傳,1,其他/未分類
以供,1,其他/未分類
某業務員,1,其他/未分類
需調查,1,其他/未分類
號及,1,其他/未分類
證供,1,其他/未分類
通話,1,其他/未分類
將以,1,其他/未分類
妨礙,1,其他/未分類
罪論,1,其他/未分類
此案,1,其他/未分類
高度,1,其他/未分類
機密,1,其他/未分類
任何,1,其他/未分類
無關,1,其他/未分類
人士,1,其他/未分類
提及,1,其他/未分類
豁免,1,其他/未分類
將凍結,1,其他/未分類
流水,1,其他/未分類
生前,1,其他/未分類
保金,1,其他/未分類
並將,1,其他/未分類
列入,1,其他/未分類
黑名,1,其他/未分類
近日,1,其他/未分類
過世,1,其他/未分類
留有,1,其他/未分類
壽險理,1,其他/未分類
金流,1,其他/未分類
檢測,1,其他/未分類
大額,1,其他/未分類
異動,1,其他/未分類
說明,1,其他/未分類
用途,1,其他/未分類
防止,1,其他/未分類
公證,1,其他/未分類
遠房,1,其他/未分類
親戚,1,其他/未分類
終身險,1,其他/未分類
賠待,1,其他/未分類
受益,1,其他/未分類
帳戶驗,1,其他/未分類
昨天,1,其他/未分類
轉出,1,其他/未分類
疑似,1,其他/未分類
款項,1,其他/未分類
之後會,1,其他/未分類
消費,1,其他/未分類
美元,1,其他/未分類
豐人壽,1,其他/未分類
已故,1,其他/未分類
現該,1,其他/未分類
賠期,1,其他/未分類
取款,1,其他/未分類
跨國,1,其他/未分類
金需,1,其他/未分類
跨境,1,其他/未分類
合法,1,其他/未分類
證金以,1,其他/未分類
啟動,1,其他/未分類
該費,1,其他/未分類
用將,1,其他/未分類
保戶關,1,其他/未分類
啟動理,1,其他/未分類
洗錢行,1,其他/未分類
取保,1,其他/未分類
險金,1,其他/未分類
繳國庫,1,其他/未分類
賠部,1,其他/未分類
醫療費,1,其他/未分類
賠額,1,其他/未分類
須辦,1,其他/未分類
交相,1,其他/未分類
印花,1,其他/未分類
一樁,1,其他/未分類
保險詐,1,其他/未分類
領案,1,其他/未分類
金證明,1,其他/未分類
有共謀,1,其他/未分類
配偶,1,其他/未分類
惟須,1,其他/未分類
徵信,1,其他/未分類
方能,1,其他/未分類
情節,1,其他/未分類
私下,1,其他/未分類
更耗,1,其他/未分類
加護,1,其他/未分類
病房,1,其他/未分類
先行,1,其他/未分類
手術費,1,其他/未分類
自付,1,其他/未分類
現場,1,其他/未分類
留下,1,其他/未分類
聲稱,1,其他/未分類
代表,1,其他/未分類
受害者,1,其他/未分類
賠償將,1,其他/未分類
提出,1,其他/未分類
保險金,1,其他/未分類
團體,1,其他/未分類
建檔費,1,其他/未分類
依照,1,其他/未分類
政府公告,1,其他/未分類
求償,1,其他/未分類
駕駛人,1,其他/未分類
賠資格,1,其他/未分類
存疑,1,其他/未分類
查驗費,1,其他/未分類
認真,1,其他/未分類
第三方,1,其他/未分類
險索,1,其他/未分類
財物,1,其他/未分類
抽查,1,其他/未分類
診斷,1,其他/未分類
核費用,1,其他/未分類
交通局,1,其他/未分類
車輛,1,其他/未分類
險將,1,其他/未分類
禁行,1,其他/未分類
全民,1,其他/未分類
健保,1,其他/未分類
時費,1,其他/未分類
新規定,1,其他/未分類
每人,1,其他/未分類
防疫,1,其他/未分類
根據,1,其他/未分類
法令,1,其他/未分類
勞健保,1,其他/未分類
將影響,1,其他/未分類
公會,1,其他/未分類
福利部,1,其他/未分類
期限,1,其他/未分類
勞工,1,其他/未分類
繳勞,1,其他/未分類
勞保年,1,其他/未分類
資計算,1,其他/未分類
外聲,1,其他/未分類
檢調,1,其他/未分類
單位,1,其他/未分類
展開,1,其他/未分類
白金卡,1,其他/未分類
核發,1,其他/未分類
評分,1,其他/未分類
網銀,1,其他/未分類
如有,1,其他/未分類
疑慮,1,其他/未分類
還款,1,其他/未分類
尚有,1,其他/未分類
低收入,1,其他/未分類
但須,1,其他/未分類
以往,1,其他/未分類
欠費,1,其他/未分類
符合,1,其他/未分類
環保署,1,其他/未分類
車主需,1,其他/未分類
環境責,1,其他/未分類
年檢,1,其他/未分類
教育局,1,其他/未分類
每位,1,其他/未分類
民眾須,1,其他/未分類
疫苗,1,其他/未分類
每份,1,其他/未分類
務必,1,其他/未分類
校園,1,其他/未分類
請家長,1,其他/未分類
盡速,1,其他/未分類
邀請,1,其他/未分類
未來理,1,其他/未分類
賠額度,1,其他/未分類
參加本,1,其他/未分類
全免,1,其他/未分類
專屬,1,其他/未分類
健檢服務,1,其他/未分類
免費,1,其他/未分類
介紹,1,其他/未分類
一款,1,其他/未分類
補費,1,其他/未分類
2023,1,其他/未分類
健保費,1,其他/未分類
還現,1,其他/未分類
金紅利,1,其他/未分類
划算,1,其他/未分類
促銷,1,其他/未分類
忠誠客,1,其他/未分類
高級別,1,其他/未分類
享終,1,其他/未分類
禮品,1,其他/未分類
續保即,1,其他/未分類
還可,1,其他/未分類
iPad,1,其他/未分類
轉介紹,1,其他/未分類
可得,1,其他/未分類
上限,1,其他/未分類
推多得,1,其他/未分類
學生,1,其他/未分類
一人,1,其他/未分類
高級,1,其他/未分類
體檢,1,其他/未分類
財部,1,其他/未分類
累積,1,其他/未分類
全數,1,其他/未分類
簡便,1,其他/未分類
親自跑,1,其他/未分類
先付,1,其他/未分類
1%,1,其他/未分類
預審,1,其他/未分類
可貸,1,其他/未分類
以鎖定,1,其他/未分類
兩張,1,其他/未分類
舊保,1,其他/未分類
只針,1,其他/未分類
1234,1,其他/未分類
單現,1,其他/未分類
轉換,1,其他/未分類
130,1,其他/未分類
提前,1,其他/未分類
回保費,1,其他/未分類
回購,1,其他/未分類
到手,1,其他/未分類
緩解,1,其他/未分類
少量,1,其他/未分類
用保,1,其他/未分類
抵押借款,1,其他/未分類
預繳,1,其他/未分類
辦理保,1,其他/未分類
單質,1,其他/未分類
會員俱樂部,1,其他/未分類
只能,1,其他/未分類
匯點,1,其他/未分類
健康,1,其他/未分類
駕照,1,其他/未分類
移民局,1,其他/未分類
簽證,1,其他/未分類
不求人,1,其他/未分類
套現,1,其他/未分類
保密,1,其他/未分類
換現,1,其他/未分類
金服務,1,其他/未分類
匿名,1,其他/未分類
透明,1,其他/未分類
一週,1,其他/未分類
政策,1,其他/未分類
寫驗,1,其他/未分類
未能,1,其他/未分類
導致,1,其他/未分類
以下,1,其他/未分類
技術,1,其他/未分類
支援,1,其他/未分類
親友,1,其他/未分類
年利率,1,其他/未分類
超低,1,其他/未分類
只收,1,其他/未分類
千元,1,其他/未分類
週轉,1,其他/未分類
小王,1,其他/未分類
保釋,1,其他/未分類
包被,1,其他/未分類
舉目,1,其他/未分類
無親,1,其他/未分類
運費以,1,其他/未分類
猜猜,1,其他/未分類
先別問,1,其他/未分類
不能,1,其他/未分類
你連,1,其他/未分類
服務即,1,其他/未分類
將中斷,1,其他/未分類
電話費,1,其他/未分類
慈善,1,其他/未分類
捐款,1,其他/未分類
單有,1,其他/未分類
附件,1,其他/未分類
以安裝,1,其他/未分類
驗證碼,1,其他/未分類
留存,1,其他/未分類
連絡,1,其他/未分類
地產,1,其他/未分類
物業費,1,其他/未分類
郵局,1,其他/未分類
電視,1,其他/未分類
訂閱,1,其他/未分類
的網,1,其他/未分類
站上,1,其他/未分類
學費,1,其他/未分類
學業,1,其他/未分類
社交,1,其他/未分類
媒體,1,其他/未分類
電信,1,其他/未分類
保護,1,其他/未分類
航空公司,1,其他/未分類
航班,1,其他/未分類
網絡,1,其他/未分類
